mission,date,date_time,latitude,longitude,sample_type,snow_thickness,sample_thickness_cm_average,sample_thickness_cm_sd,pi
ice_camp_2015,2015-06-10,2015-06-10T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,123.666666666667,1,"Galindo, V."
ice_camp_2015,2015-06-12,2015-06-12T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,117.666666666667,2.3094010767585,"Galindo, V."
ice_camp_2015,2015-06-15,2015-06-15T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,126.5,0,"Galindo, V."
ice_camp_2015,2015-06-18,2015-06-18T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,108.5,0.707106781186548,"Galindo, V."
ice_camp_2015,2015-06-21,2015-06-21T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,111.5,1.4142135623731,"Galindo, V."
ice_camp_2015,2015-06-24,2015-06-24T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,129,0,"Galindo, V."
ice_camp_2015,2015-06-27,2015-06-27T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,104.75,1.70782512765993,"Galindo, V."
ice_camp_2015,2015-06-30,2015-06-30T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,125.5,1.29099444873581,"Galindo, V."
ice_camp_2015,2015-07-03,2015-07-03T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,120.4,0.707106781186548,"Galindo, V."
ice_camp_2015,2015-07-06,2015-07-06T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,103,0,"Galindo, V."
ice_camp_2016,2016-05-02,2016-05-02T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,29,NA,"Galindo, V."
ice_camp_2016,2016-05-04,2016-05-04T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,27,0,"Galindo, V."
ice_camp_2016,2016-05-06,2016-05-06T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,26,0,"Galindo, V."
ice_camp_2016,2016-05-09,2016-05-09T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,49,0,"Galindo, V."
ice_camp_2016,2016-05-11,2016-05-11T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,42,0,"Galindo, V."
ice_camp_2016,2016-05-13,2016-05-13T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,27,0,"Galindo, V."
ice_camp_2016,2016-05-16,2016-05-16T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,32,0,"Galindo, V."
ice_camp_2016,2016-05-18,2016-05-18T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,20,0,"Galindo, V."
ice_camp_2016,2016-05-20,2016-05-20T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,29,0,"Galindo, V."
ice_camp_2016,2016-05-23,2016-05-23T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,27.8235294117647,0.303169531295416,"Galindo, V."
ice_camp_2016,2016-05-25,2016-05-25T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,24.4,0.699205898780101,"Galindo, V."
ice_camp_2016,2016-05-27,2016-05-27T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,30.59375,2.58340053676029,"Galindo, V."
ice_camp_2016,2016-05-30,2016-05-30T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,32.4285714285714,1.55485768402848,"Galindo, V."
ice_camp_2016,2016-06-01,2016-06-01T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,29.375,2.36571150166095,"Galindo, V."
ice_camp_2016,2016-06-03,2016-06-03T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,33.4285714285714,2.2434275189912,"Galindo, V."
ice_camp_2016,2016-06-06,2016-06-06T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,26.1052631578947,2.96075697606963,"Galindo, V."
ice_camp_2016,2016-06-08,2016-06-08T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,17.9166666666667,3.57919069911147,"Galindo, V."
ice_camp_2016,2016-06-10,2016-06-10T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,23.6666666666667,1.95180014589707,"Galindo, V."
ice_camp_2016,2016-06-13,2016-06-13T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,10.0714285714286,1.49173547429654,"Galindo, V."
ice_camp_2016,2016-06-15,2016-06-15T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,8.07692307692308,2.13937445925744,"Galindo, V."
ice_camp_2016,2016-06-17,2016-06-17T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,0.466666666666667,0.516397779494322,"Galindo, V."
ice_camp_2016,2016-06-20,2016-06-20T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,3.61111111111111,2.65991793081907,"Galindo, V."
ice_camp_2016,2016-06-22,2016-06-22T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,6.07692307692308,1.93483584409369,"Galindo, V."
ice_camp_2016,2016-06-24,2016-06-24T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,3.26666666666667,0.961150104723255,"Galindo, V."
ice_camp_2016,2016-06-27,2016-06-27T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,6.3125,2.24258035902098,"Galindo, V."
ice_camp_2016,2016-06-29,2016-06-29T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,0.321428571428571,1.72768345187714,"Galindo, V."
